Entity,Scorecard,Squad,Level,Status,Rule,Description,Failure Message,Last Evaluated
conductor-cells,Changes Ship Reliably,Dancing Penguins,Baseline,Fail,Components must have consistent catalog naming,"Component names in Slingshot manifests must match the entity names in the catalog to maintain catalog integrity and enable reliable measurements, as per [changes-ship-reliably/component-service-name-mapping](https://production-standards.skyscannerpage.com/standards/changes-ship-reliably/component-service-name-mapping/).","Component names in your Slingshot manifest do not match the entity names in the catalog. To resolve this issue, ensure your serviceName in Slingshot configuration exactly matches your componentName in .catalog.yml. See the [Component Service Name Mapping guide](https://skyscanner.atlassian.net/wiki/x/o9K6Tg) for detailed migration steps and support resources.",2026-06-20T09:06:47.543309
conductor-cells,Production Observable and Resilient,Dancing Penguins,Baseline,Fail,Components must limit short-duration internal spans,"Components must limit short-duration internal spans, as per [production-observable-and-resilient/tracing/02-usage](https://production-standards.skyscannerpage.com/standards/production-observable-and-resilient/tracing/02-usage).","* {{context.evaluation.captures.rule.message}}
* Details: {{context.evaluation.captures.rule.details}}
* [Rule definition](https://github.com/Skyscanner/cortex-enrichment/blob/main/jobs/observability_rules/short_spans_rule.py)
",2026-06-19T10:26:11.811308
conductor-cells,Production Observable and Resilient,Dancing Penguins,Baseline,Fail,Components must not write metrics to Slipstream,"Components must not write metrics to Slipstream, as per [production-observable-and-resilient/common/06-observability-platforms](https://production-standards.skyscannerpage.com/standards/production-observable-and-resilient/common/06-observability-platforms/).","* {{context.evaluation.captures.rule.message}}
* Details: {{context.evaluation.captures.rule.details}}
* [Rule definition](https://github.com/Skyscanner/cortex-enrichment/blob/main/jobs/observability_rules/slipstream_rule.py)
",2026-06-19T10:26:11.811308
conductor-cells,Production Observable and Resilient,Dancing Penguins,Baseline,Fail,Components must follow custom metric naming conventions,"Components must follow custom metric naming conventions, as per [production-observable-and-resilient/metrics/01-instrumentation-and-transport](https://production-standards.skyscannerpage.com/standards/production-observable-and-resilient/metrics/01-instrumentation-and-transport).","* {{context.evaluation.captures.rule.message}}
* Details: {{context.evaluation.captures.rule.details}}
* [Rule definition](https://github.com/Skyscanner/cortex-enrichment/blob/main/jobs/observability_rules/metric_naming_convention_rule.py)
",2026-06-19T10:26:11.811308
conductor-cells,Technology Stays Current,Dancing Penguins,Baseline,Fail,Services must set maxRequestHeaderSize to 32KiB in production Dropwizard config,"Microservices must explicitly set `maxRequestHeaderSize: 32KiB` in
`prod.yml` or equivalent production Dropwizard config, as per
[technology-stays-current/http-request-header-size](https://production-standards.skyscannerpage.com/standards/technology-stays-current/http-request-header-size/).","Set `maxRequestHeaderSize: 32KiB` in every production Dropwizard config
file. If this service is (a) gRPC only and does not serve HTTP traffic, or (b) Not a Java service, please
request an exemption stating this as the reason.

{{^context.evaluation.captures.productionConfigFiles}}
No production Dropwizard config files matching `prod.yml`, `production.yml`, `prod-*.yml`, or `production-*.yml` were found.
{{/context.evaluation.captures.productionConfigFiles}}
{{#context.evaluation.captures.missingHeaderSizeFiles}}
The following production Dropwizard config files are missing `maxRequestHeaderSize: 32KiB`:
- `{{relativePath}}`
{{/context.evaluation.captures.missingHeaderSizeFiles}}",2026-06-20T09:06:56.39636
constructed-returns,Technology Stays Current,Big Yus,Baseline,Fail,"AI agents, batch jobs and ETL must be written in Python","AI agents, batch jobs, and ETL pipelines must use Python as the primary programming language, as per [technology-stays-current/batch-job](https://production-standards.skyscannerpage.com/standards/technology-stays-current/batch-job/).",,2026-06-20T09:07:17.319184
coverage-analysis-batch-job,Changes Ship Reliably,Falcon,Baseline,Fail,Components must be deployed regularly,"Components must be redeployed at least once every four weeks to ensure redeployability for faster disaster recovery, as per [changes-ship-reliably/redeployability](https://production-standards.skyscannerpage.com/standards/changes-ship-reliably/redeployability/).",You have not redeployed your component in the past four weeks. Please ensure that it is redeployed regularly.,2026-06-20T09:15:53.922246
dancingpenguins,Technology Stays Current,Dancing Penguins,Baseline,Fail,Repositories must use supported Docker images,"Repositories must use official Skyscanner [Docker images](https://skyscanner.atlassian.net/l/cp/CCfXdwKF) for all supported languages which include performance and security enhancements, as per
[technology-stays-current/container-images](https://production-standards.skyscannerpage.com/standards/technology-stays-current/container-images/).
Using stale or unsupported Docker images exposes Skyscanner travelers to security threats.

Please use official Skyscanner Docker images for all your projects. Review and act upon any open Dependabot pull requests against your repositories. If your project cannot receive dependency bumps by Dependabot, update your Docker images to the most recent version and reach out for support.","{{#context.evaluation.captures.dockerfiles}}

### `{{path}}`

{{#base_images}}
- `{{registry}}/{{name}}` tag=`:{{tag}}` digest=`@{{digest}}` stage=`{{stage}}`
{{/base_images}}

{{/context.evaluation.captures.dockerfiles}}",2026-06-20T09:41:34.004553
dancingpenguins,Technology Stays Current,Dancing Penguins,Baseline,Fail,Repositories must use Docker base images from ECR,"Repositories must use Docker base images from the internal ECR repository, not from the public internet, as per [technology-stays-current/container-images](https://production-standards.skyscannerpage.com/standards/technology-stays-current/container-images/).","{{#context.evaluation.captures.dockerfiles}}

### `{{path}}`

{{#base_images}}
- `{{registry}}/{{name}}` tag=`:{{tag}}` digest=`@{{digest}}` stage=`{{stage}}`
{{/base_images}}

{{/context.evaluation.captures.dockerfiles}}
",2026-06-20T09:41:34.004553
deal-message,Production Observable and Resilient,Silver,Baseline,Fail,Repositories must use only OpenTelemetry API,"Repositories must use only OpenTelemetry API for traces and metrics, as per [production-observable-and-resilient/metrics/01-instrumentation-and-transport](https://production-standards.skyscannerpage.com/standards/production-observable-and-resilient/metrics/01-instrumentation-and-transport/).","For traces and metrics, components must be instrumented exclusively with OpenTelemetry API. Other tools like MShellMetrics, StatsD or Grappler log metric are deprecated.

Repository https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}} contains references to deprecated metrics clients.

Detected the following file counts:
* {{context.evaluation.captures.statsd}} files using skyscanner/mshell-statsd [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}/search?q=skyscanner%2Fmshell-statsd+extension%3Ayaml+extension%3Ayml)
* {{context.evaluation.captures.statsd_legacy}} files using data-platform/mshell-statsd [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}/search?q=data-platform%2Fmshell-statsd+extension%3Ayaml+extension%3Ayml)
* {{context.evaluation.captures.grappler_log_metric}} files using grappler SDK log_metric() logMetric() calls [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}/search?q=""grappler.log.metric""+extension%3Apy+extension%3Ajs+extension%3Ats)
* {{context.evaluation.captures.mshell_metrics_java}} files using MShellMetrics Java [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}/search?q=MShellMetrics+extension%3Ajava)
* {{context.evaluation.captures.mshell_metrics_node}} files using mshell-node-metrics [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}/search?q=mshell-node-metrics+extension%3Ajs)
* {{context.evaluation.captures.mshell_metrics_python}} files using mshell_metrics Python imports [github link](https://github.com/{{context.entity.descriptor.info.x-cortex-git.github.repository}}//search?q=""from+mshell_metrics""+extension%3Apy)
",2026-06-19T10:57:53.746147
